Game title;Amount of recommendations;Current price;Current discount in percent;Genre;Publisher;Rating;Names;Collection;Release;engine;Platforms;Number of Platforms
Counter-Strike: Global Offensive;2999135;0.0;0;Shooter;Hidden Path Entertainment;81;Counter-Strike: Ofensiva Global, Counterstrike: Global Offensive, CSGO, CS:GO, CS: Global Offensive, 反恐精英：全球攻势, 글옵, 카운터 스트라이크: 글로벌 오펜시브, カウンターストライク グローバルオフェンシブ;Counter-Strike;2012;Source;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac;5
PUBG: BATTLEGROUNDS;1382744;29.99;0;Shooter;Bluehole Studio;75;Battlegrounds, Player Unknown, PUBG, PLAYERUNKNOWN'S BATTLEGROUNDS, 펍지, 배그, 배틀그라운드, 绝地求生, 絕地求生, PUBG: BATTLEGROUNDS;;2017;Unreal Engine;PC (Microsoft Windows), PlayStation 4, Xbox One, Google Stadia;4
Tom Clancy's Rainbow Six Siege;710454;19.99;0;Shooter;Ubisoft Montreal;74;R6:S, R6S, R6: Siege, 彩虹六号：围攻, Regenbogen 6 Belagerung, 레식, Rainbow Six Siege, Tom Clancy's Rainbow Six: Siege, レインボーシックス シージ, 레인보우 식스 시즈;Rainbow Six;2020;AnvilNext;PC (Microsoft Windows), PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S, Google Stadia;6
Garry's Mod;557779;9.99;0;Simulator;Facepunch Studios;74;GMod, 게리 모드, gmod 9, gmod;;2004;Source;Linux, PC (Microsoft Windows), Mac;3
Terraria;536708;9.99;0;Platform;Headup Games;81;Terraria: Journey's End, テラリア, 테라리아 (Terraria), 테라리아;Terraria;2011;Unique;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, Nintendo 3DS, iOS, Wii U, PlayStation Vita, PlayStation 4, Xbox One, Windows Phone, Nintendo Switch, Google Stadia;15
Rust;441040;39.99;0;Shooter;Facepunch Studios;77;러스트;;2021;Unity;Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One;5
Among Us;437476;3.99;20;Point-and-click;Telltale Games;83;The Wolf Among Us Episode 5, The Wolf Among Us: Cry Wolf;The Wolf Among Us;2014;Telltale Tool;PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac;4
The Witcher 3: Wild Hunt;433689;39.99;0;Role-playing (RPG);Bandai Namco Games;74;The Witcher III Wild Hunt + Dark Souls III Compilation, The Witcher 3: Wild Hunt / Dark Souls III;;2018;Unique;PlayStation 4, Xbox One;2
ARK: Survival Evolved;319463;10.0;80;Shooter;Studio Wildcard;68;Arche: Überleben Entwickelt, 아크 서바이벌 이볼브드, 方舟：生存进化, ARK: Survival Evolved, ARK: Survival of the Fittest, 方舟：生存進化;Ark;2017;Unreal Engine;Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation 4, Xbox One, Nintendo Switch, Google Stadia;9
Left 4 Dead 2;313562;9.99;0;Shooter;Valve;88;L4D2, L4D2;Left 4 Dead;2009;Source;Linux, PC (Microsoft Windows), Xbox 360, Mac;4
