Game title;Amount of recommendations;Current price;Current discount;Genre;Publisher;Rating;Names;Collection;Release;engine;Platforms
Counter-Strike: Global Offensive;2,999,135;$0.00;0;Shooter;Hidden Path Entertainment;81.0;Counter-Strike: Ofensiva Global, Counterstrike: Global Offensive, CSGO, CS:GO, CS: Global Offensive, 反恐精英：全球攻势, 글옵, 카운터 스트라이크: 글로벌 오펜시브, カウンターストライク グローバルオフェンシブ;Counter-Strike;21-08-2012;Source;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac
PUBG: BATTLEGROUNDS;1,382,744;$29.99;0;Shooter;Bluehole Studio;75.0625;Battlegrounds, Player Unknown, PUBG, PLAYERUNKNOWN'S BATTLEGROUNDS, 펍지, 배그, 배틀그라운드, 绝地求生, 絕地求生, PUBG: BATTLEGROUNDS;N/A;20-12-2017;Unreal Engine 4;PC (Microsoft Windows), PlayStation 4, Xbox One, Google Stadia
Tom Clancy's Rainbow Six Siege;710,454;$19.99;0;Shooter;Ubisoft Montreal;74.16666666666667;R6:S, R6S, R6: Siege, 彩虹六号：围攻, Regenbogen 6 Belagerung, 레식, Rainbow Six Siege, Tom Clancy's Rainbow Six: Siege, レインボーシックス シージ, 레인보우 식스 시즈;Rainbow Six;01-12-2020;AnvilNext;PC (Microsoft Windows), PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S, Google Stadia
Garry's Mod;557,779;$9.99;0;Simulator;Facepunch Studios;N/A;GMod, 게리 모드, gmod 9, gmod;N/A;24-12-2004;Source;Linux, PC (Microsoft Windows), Mac
Terraria;536,708;$9.99;0;Platform;Headup Games;81.0;Terraria: Journey's End, テラリア, 테라리아 (Terraria), 테라리아;Terraria;16-05-2011;N/A;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, Nintendo 3DS, iOS, Wii U, PlayStation Vita, PlayStation 4, Xbox One, Windows Phone, Nintendo Switch, Google Stadia
Rust;441,040;$39.99;0;Shooter;Facepunch Studios;77.5;러스트;N/A;21-05-2021;Unity;Linux, PC (Microsoft Windows), Mac, PlayStation 4, Xbox One
Among Us;437,476;$3.99;-20%;Point-and-click;Telltale Games;83.6;The Wolf Among Us Episode 5, The Wolf Among Us: Cry Wolf;The Wolf Among Us;08-07-2014;Telltale Tool;PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac
The Witcher 3: Wild Hunt;433,689;$39.99;0;Role-playing (RPG);Bandai Namco Games;N/A;The Witcher III Wild Hunt + Dark Souls III Compilation, The Witcher 3: Wild Hunt / Dark Souls III;N/A;26-10-2018;N/A;PlayStation 4, Xbox One
ARK: Survival Evolved;319,463;$10.00;-80%;Shooter;Studio Wildcard;68.875;Arche: Überleben Entwickelt, 아크 서바이벌 이볼브드, 方舟：生存进化, ARK: Survival Evolved, ARK: Survival of the Fittest, 方舟：生存進化;Ark;29-08-2017;Unreal Engine;Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation 4, Xbox One, Nintendo Switch, Google Stadia
Left 4 Dead 2;313,562;$9.99;0;Shooter;Valve;88.6;L4D2, L4D2;Left 4 Dead;17-11-2009;Source;Linux, PC (Microsoft Windows), Xbox 360, Mac
Dead by Daylight;309,366;$19.99;0;Strategy;Behaviour Interactive;N/A;Dead by Daylight - Headcase, Dead by Daylight: Head Case;N/A;08-06-2017;N/A;PC (Microsoft Windows), PlayStation 4, Xbox One, PlayStation 5, Xbox Series X|S, Google Stadia
PAYDAY 2;304,867;$9.99;0;Shooter;Overkill Software;74.76470588235294;Payday: The Heist 2, PAYDAY 2, PAYDAY: The Heist 2;Payday;13-08-2013;Diesel;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, PlayStation 4, Xbox One, Nintendo Switch
Euro Truck Simulator 2;294,564;$19.99;0;Simulator;SCS Software;N/A;Euro Truck Simulator 2 - Edition Limitée;N/A;31-12-2013;N/A;PC (Microsoft Windows)
Stardew Valley;270,751;$14.99;0;Role-playing (RPG);Sickhead Games;90.53846153846153;スターデューバレー, 星露谷物语, 스타듀 밸리;N/A;26-02-2016;Microsoft XNA;Linux, PC (Microsoft Windows), Mac, Android, iOS, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch
DayZ;214,152;$44.99;0;Shooter;Bohemia Interactive Studio;69.0;DayZ Standalone;N/A;27-03-2019;Enfusion;PC (Microsoft Windows), PlayStation 4, Xbox One
The Forest;205,935;$19.99;0;Role-playing (RPG);Primary Orbit;60.0;メルヘンフォーレスト～メルンちゃんと森の贈り物～, Marchen Forest: Mylne and the Forest Gift;N/A;28-01-2021;N/A;PC (Microsoft Windows), PlayStation 4, Nintendo Switch
Phasmophobia;187,721;$13.99;0;Puzzle;Kinetic Games;N/A;파스모포비아, 恐鬼症;N/A;18-09-2020;Unity 2019;PC (Microsoft Windows), Windows Mixed Reality, SteamVR, PlayStation 5, Xbox Series X|S, Oculus Rift, PlayStation VR2
Monster Hunter: World;183,844;$29.99;0;Role-playing (RPG);Capcom;93.25;MHW, 몬스터 헌터: 월드, 몬헌월드, モンスターハンター：ワールド, 魔物獵人：世界;Monster Hunter;26-01-2018;MT Framework;PC (Microsoft Windows), PlayStation 4, Xbox One
The Elder Scrolls V: Skyrim;174,055;$19.99;0;Role-playing (RPG);Bethesda Game Studios;96.11111111111111;TES5, The Elder Scrolls 5: Skyrim, Skyrim, TESV: Skyrim, TES Skyrim;The Elder Scrolls;11-11-2011;Creation Engine;PC (Microsoft Windows), PlayStation 3, Xbox 360
Borderlands 2;163,139;$4.99;-75%;Shooter;Gearbox Software;80.70588235294117;BL2, 보더랜드 2;Borderlands;18-09-2012;Unreal Engine;Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac, Android, PlayStation Vita, PlayStation 4, Xbox One, Nintendo Switch
DARK SOULS™ III;156,644;$59.99;0;Role-playing (RPG);Bandai Namco Entertainment;86.07692307692308;Dunkle Seelen III, Dark Souls 3, ダークソウルズIII, 黑暗之魂III, 다크 소울 3, DS3, DARK SOULS III;Dark Souls;12-04-2016;N/A;PC (Microsoft Windows), PlayStation 4, Xbox One
Z1 Battle Royale;148,039;$0.00;0;Shooter;Daybreak Game Company;66.25;H1Z1: King of the Kill, h1z1kotk, H1Z1, H1Z1: Battle Royale;H1Z1;28-02-2018;N/A;PC (Microsoft Windows), PlayStation 4
No Man's Sky;147,634;$59.99;0;Role-playing (RPG);505 Games;73.84210526315789;No Man's Sky Atlas Rises, No Man's Sky Foundation, No Man's Sky Pathfinder, No Man's Sky NEXT, No Man's Sky Abyss, No Man's Sky Visions, No Man's Sky Beyond, No Man's Sky Synthesis, No Man's Sky Living Ship, No Man's Sky Exo Mech, No Man's Sky Crossplay, No Man's Sky Desolation, No Man's Sky Origins, No Man's Sky Next Generation, No Man's Sky Companions, No Man's Sky Expeditions, No Man's Sky Prisms, 노 맨즈 스카이, No Man's Sky Frontiers, ノーマンズスカイ;N/A;12-08-2016;Custom built engine;PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, SteamVR, PlayStation VR, PlayStation 5, Xbox Series X|S, Oculus Rift, PlayStation VR2
